zipcode,street,neighbourhood,city,state,country,longitude,latitude
11679899,Área Rural,Área Rural de Caraguatatuba,Caraguatatuba,SP,Brasil,-47.127533,-22.8018952
11666770,Rua Inácio Batista de Faria,Balneário Mar Azul,Caraguatatuba,SP,Brasil,-45.4452474,-23.6686225
11661395,Avenida Antônio Francisco Paschoal Peliciari,Cantagalo,Caraguatatuba,SP,Brasil,-45.3980307,-23.6046979
11666780,Avenida Emílio Manzano Lhorente,Balneário dos Golfinhos,Caraguatatuba,SP,Brasil,-45.4514943,-23.6718155
11666790,Alameda Alfredo Carlos Rokita,Balneário dos Golfinhos,Caraguatatuba,SP,Brasil,-45.451625,-23.671349
11666800,Avenida Pedro Reginaldo da Costa,Balneário dos Golfinhos,Caraguatatuba,SP,Brasil,-45.4551596,-23.6717164
11676691,Rua José Garcia da Fonseca,Capricórnio III,Caraguatatuba,SP,Brasil,-45.3651756,-23.5951497
11676692,Rua Dois,Capricórnio III,Caraguatatuba,SP,Brasil,-45.3533527,-23.6036793
11676694,Rua Quatro,Capricórnio III,Caraguatatuba,SP,Brasil,-45.3517335,-23.6061678
11676695,Rua Esquerda,Capricórnio III,Caraguatatuba,SP,Brasil,-45.4309606,-23.7111073
11676697,Rua Seis,Capricórnio III,Caraguatatuba,SP,Brasil,-45.45398,-23.6832813
11676699,Rua Sete,Capricórnio III,Caraguatatuba,SP,Brasil,-45.3625878,-23.5982692
11660135,Rua Delfino Macedo,Benfica,Caraguatatuba,SP,Brasil,-45.4239186,-23.6192428
11660145,Rua Capitão José Macedo,Benfica,Caraguatatuba,SP,Brasil,-45.4134629,-23.6175005
11660155,Rua Iraci,Benfica,Caraguatatuba,SP,Brasil,-45.4124633,-23.6191225
11660165,Rua Maria Hortência,Benfica,Caraguatatuba,SP,Brasil,-45.4139026,-23.6169136
11660195,Rua Ione,Benfica,Caraguatatuba,SP,Brasil,-45.4128085,-23.6184648
11660405,Rua Antônio Mathias dos Reis Filho,Benfica,Caraguatatuba,SP,Brasil,-45.4164889,-23.6164166
11660406,Rua Maestro Pedro Alves de Souza,Benfica,Caraguatatuba,SP,Brasil,-47.5217972,-23.009581
11660407,Rua Cristina Canova Passos,Benfica,Caraguatatuba,SP,Brasil,-45.4160293,-23.6202907
11660415,Rua Benedito Miguel da Costa,Benfica,Caraguatatuba,SP,Brasil,-45.4225724,-23.6122833
11660457,Rua Josefa Luzinete de Souza,Benfica,Caraguatatuba,SP,Brasil,-45.4160293,-23.6202907
11676095,Rua Benedito Jesuíno,Capricónio III,Caraguatatuba,SP,Brasil,-45.3640277,-23.5973204
11676702,Rua Oito,Capricónio III,Caraguatatuba,SP,Brasil,-45.3538038,-23.6058197
11676704,Rua Nove,Capricónio III,Caraguatatuba,SP,Brasil,-45.3552446,-23.6049584
11676706,Rua João Caetano dos Santos Filho,Capricónio III,Caraguatatuba,SP,Brasil,-45.3668928,-23.593264
11676707,Rua Doze,Capricónio III,Caraguatatuba,SP,Brasil,-45.3550877,-23.6062684
11676708,Rua Treze,Capricónio III,Caraguatatuba,SP,Brasil,-45.3402969,-23.5838423
